id,vignette_name,generation_number,generation_time,response,reflection_score
5a2add709408dc00016f57d3,Brian,0,64151,putavideocameraandseeifhecancatchsomeoneintheact,82
5a2add709408dc00016f57d3,Brian,1,19671,setatrapandkeepaneyeonittillsomeonegoesforit,68
5a2add709408dc00016f57d3,Brian,2,22578,tellthemanagertotrackthemoneyfromnowon,57
5a2add709408dc00016f57d3,Brian,3,13973,suggestmanagerthreatenstofiresomeone,55
5a2add709408dc00016f57d3,Brian,4,15548,figureouthowmuchmoneyisgone,52
5a2add709408dc00016f57d3,Brian,5,28363,threatenotherworkersthatyousawwhodidit,53
5a2add709408dc00016f57d3,Josh,0,22427,trytofixhimself,80
5a2add709408dc00016f57d3,Josh,1,15583,rentabikeorscooter,67
5a2add709408dc00016f57d3,Josh,2,9283,takeanearbybus,80
5a2add709408dc00016f57d3,Josh,3,18454,waittillsomeoneoffershelp,62
5a2add709408dc00016f57d3,Josh,4,15686,walktonearbygasstation,81
5a2add709408dc00016f57d3,Josh,5,12160,rescheduleflight,80
5a2add709408dc00016f57d3,Liz,0,24161,leaveamessagewithfrontdesk,77
5a2add709408dc00016f57d3,Liz,1,22458,eatasnack,65
5a2add709408dc00016f57d3,Liz,2,21542,startexercisingshewillfindme,89
5a2add709408dc00016f57d3,Liz,3,26932,waittorenewmembership,86
5a2add709408dc00016f57d3,Liz,4,4920,cancelthegym,72
5a2add709408dc00016f57d3,Liz,5,10604,waitforfriendtoreachout,66
5a2add709408dc00016f57d3,Heinz,0,27238,investinstock,66
5a2add709408dc00016f57d3,Heinz,1,6692,sellitemsonline,65
5a2add709408dc00016f57d3,Heinz,2,20090,seeifanydiscountsareavailable,69
5a2add709408dc00016f57d3,Heinz,3,17182,tryswitchinginsurance,65
5a2add709408dc00016f57d3,Heinz,4,9050,differentdoctor,69
5a2add709408dc00016f57d3,Heinz,5,11036,medicationtohelptilligetthemoney,71
5d8b68e5140c8a00173dbb26,Heinz,0,40872,sellvaluables,96
5d8b68e5140c8a00173dbb26,Heinz,1,42030,lookforpaymentalternativeslikepaymentplans,70
5d8b68e5140c8a00173dbb26,Heinz,2,7290,paywithcreditcard,60
5d8b68e5140c8a00173dbb26,Heinz,3,40203,askfordifferentoptionsformedication,41
5d8b68e5140c8a00173dbb26,Heinz,4,8733,seeifthereareotherinsuranceplans,50
5d8b68e5140c8a00173dbb26,Heinz,5,26210,askforadvicefromdoctor,59
5d8b68e5140c8a00173dbb26,Josh,0,39254,changeflights,59
5d8b68e5140c8a00173dbb26,Josh,1,41528,changesafaridate,61
5d8b68e5140c8a00173dbb26,Josh,2,27880,jogtotheairport,76
5d8b68e5140c8a00173dbb26,Josh,3,21773,catchthebus,77
5d8b68e5140c8a00173dbb26,Josh,4,6487,takeatrain,84
5d8b68e5140c8a00173dbb26,Josh,5,96652,trytofixthecarbyhimself,88
5d8b68e5140c8a00173dbb26,Liz,0,21155,gobacktoherdesk,80
5d8b68e5140c8a00173dbb26,Liz,1,10350,leaveanote,78
5d8b68e5140c8a00173dbb26,Liz,2,9818,asktobeletin,79
5d8b68e5140c8a00173dbb26,Liz,3,30294,changeplans,66
5d8b68e5140c8a00173dbb26,Liz,4,36036,grablunch,84
5d8b68e5140c8a00173dbb26,Liz,5,51810,waitforheroutsidethegym,27
5d8b68e5140c8a00173dbb26,Brian,0,16171,lookatthecameras,95
5d8b68e5140c8a00173dbb26,Brian,1,22993,recountthemoney,84
5d8b68e5140c8a00173dbb26,Brian,2,12996,lookatthetransactions,86
5d8b68e5140c8a00173dbb26,Brian,3,68525,accuseacoworker,19
5d8b68e5140c8a00173dbb26,Brian,4,83979,makeanannouncement,64
5d8b68e5140c8a00173dbb26,Brian,5,9135,usethetipmoney,30
5746f1955e549100063b3c45,Heinz,0,34057,gethetreatmentanddontpayforitafterwards,100
5746f1955e549100063b3c45,Heinz,1,13789,traveltoanothercountryforcheapertreatment,26
5746f1955e549100063b3c45,Heinz,2,9381,lookintopossibleexperimentalfreetreatments,100
5746f1955e549100063b3c45,Heinz,3,12868,lookintoalternativetreatmentsiftheyaresciencebacked,62
5746f1955e549100063b3c45,Heinz,4,17741,findaslidingscalehospital,100
5746f1955e549100063b3c45,Heinz,5,6525,findafreeclinic,100
5746f1955e549100063b3c45,Brian,0,15839,actlikehedidntnotice,0
5746f1955e549100063b3c45,Brian,1,6734,quitandfindanotherjob,6
5746f1955e549100063b3c45,Brian,2,7782,immediatelycallhismanager,100
5746f1955e549100063b3c45,Brian,3,7341,borrowmoneyfromparents,98
5746f1955e549100063b3c45,Brian,4,14701,lookforthemissingmoney,100
5746f1955e549100063b3c45,Brian,5,4662,recountthemoney,100
5746f1955e549100063b3c45,Liz,0,13270,apologizethenextday,100
5746f1955e549100063b3c45,Liz,1,8334,askthegymtogiveamessagetoherfriend,100
5746f1955e549100063b3c45,Liz,2,19198,waituntilthenextdayandexplainwhathappened,100
5746f1955e549100063b3c45,Liz,3,5886,waitforherfriendoutside,100
5746f1955e549100063b3c45,Liz,4,7174,tellherfriendherdogdied,0
5746f1955e549100063b3c45,Liz,5,5797,tellherfriendherdadgotsick,0
5746f1955e549100063b3c45,Josh,0,22798,stealabikeandrideit,0
5746f1955e549100063b3c45,Josh,1,6821,takeanotherflight,100
5746f1955e549100063b3c45,Josh,2,7861,postponethetrip,100
5746f1955e549100063b3c45,Josh,3,23254,findashortcutthroughthewoodsandwalkit,90
5746f1955e549100063b3c45,Josh,4,6806,jumponthebackofatruck,9
5746f1955e549100063b3c45,Josh,5,5437,stealacar,0
615e338de22ea1c7fe8dec3f,Brian,0,12692,puthisownmoneyin,88
615e338de22ea1c7fe8dec3f,Brian,1,9250,tellhismanagerthetruth,100
615e338de22ea1c7fe8dec3f,Brian,2,10208,lieaboutmissingmoneyfudgenumbers,0
615e338de22ea1c7fe8dec3f,Brian,3,7724,askhiscoworkersaboutmissingmoney,61
615e338de22ea1c7fe8dec3f,Brian,4,5986,poolmoneywithcoworkers,88
615e338de22ea1c7fe8dec3f,Brian,5,7935,ignorethemissingmoneydonothing,0
615e338de22ea1c7fe8dec3f,Liz,0,128662,renewhermembership,100
615e338de22ea1c7fe8dec3f,Liz,1,5137,usehtefrontdesksphone,100
615e338de22ea1c7fe8dec3f,Liz,2,5397,borrowsomeoneelsesphone,100
615e338de22ea1c7fe8dec3f,Liz,3,4496,leavethegym,10
615e338de22ea1c7fe8dec3f,Liz,4,4629,sneakintothegym,0
615e338de22ea1c7fe8dec3f,Liz,5,5207,waitforherfriend,87
615e338de22ea1c7fe8dec3f,Josh,0,148532,callataxi,88
